time,"Aceleração (m/s²)","Altitude (GPS) (m)","Distância percorrida (km)","Distância percorrida (total) (km)","Espaço livre no tanque de combustível (L)","Nível de combustível (%) (%)","Nível de combustível (V) (L)","Posição do pedal do acelerador D (%)","Posição do pedal do acelerador E (%)","RPM do motor (rpm)","RPM do motor x1000 (rpm)","Temperatura do líquido de 
arrefecimento do motor (℃)","Velocidade (GPS) (km/h)","Velocidade do veículo (km/h)","Velocidade média (km/h)","Velocidade média (GPS) (km/h)",Latitude,Longtitude,
21:25:25.058,,,,,,,,,,,,,0,,,0,-23.5563426,-46.8960973,
21:25:25.066,,811.400024414063,,,,,,,,,,,,,,,-23.5563426,-46.8960973,
21:25:25.069,,811.400024414063,,,,,,,,,,,,,,,-23.5563426,-46.8960973,
21:25:25.140,,811.400024414063,,,,,,,,,,,0,,,0,-23.5563426,-46.8960973,
21:25:25.152,,807.379015909717,,,,,,,,,,,0,,,0,-23.5563426,-46.8960973,
21:25:26.597,,,,,36,28,14,,,,,,,,,,-23.5563426,-46.8960973,
21:25:26.761,,,,,,,,,,,,,,0,,,-23.5563426,-46.8960973,
21:25:26.928,,,,,,,,,,1240,1.2,,,,,,-23.5563426,-46.8960973,
21:25:27.084,,,,,,,,19,,,,,,,,,-23.5563426,-46.8960973,
21:25:27.244,,,,,,,,,9,,,,,,,,-23.5563426,-46.8960973,
21:25:27.394,,,,,,,,,,,,26,,,,,-23.5563426,-46.8960973,
21:25:27.564,,,,,36,28,14,,,,,,,,,,-23.5563426,-46.8960973,
21:25:27.720,,,0,35.0416006170278,,,,,,,,,,0,,,-23.5563426,-46.8960973,
21:25:27.873,,811.400024414063,,,,,,,,,,,0,,,0,-23.5563582,-46.896099,
21:25:27.874,,811.400024414063,,,,,,,,,,,,,,,-23.5563582,-46.896099,
21:25:27.877,,,,,,,,,,1242,1.2,,,,,,-23.5563582,-46.896099,
21:25:28.026,,811.400024414063,,,,,,,,,,,0.823548406362534,,,0.0307429130110106,-23.5563582,-46.896099,
21:25:28.124,,,,,,,,19,,,,,,,,,-23.5563582,-46.896099,
21:25:28.276,,,,,,,,,9,,,,,,,,-23.5563582,-46.896099,
21:25:28.441,,,,,36,28,14,,,,,,,,,,-23.5563582,-46.896099,
21:25:28.605,,,0,35.0416006170278,,,,,,,,,,0,0,,-23.5563582,-46.896099,
21:25:28.759,,,,,,,,,,1228,1.2,,,,,,-23.5563582,-46.896099,
